username,waktu,konten
Divisi Humas Polri,23-05-2025 09:02,Divisi Humas Polri Divisi Humas Polri @DivHumas_Polri · Polri  melalui jajaran Dittipidsiber Bareskrim  Polri  bersama Direktorat Perlindungan Perempuan dan Anak (PPA) berhasil mengungkap kasus penyebaran pornografi anak yang dilakukan melalui grup Facebook “Fantasi Sedarah” dan “Suka Duka”. Sebanyak enam tersangka ditangkap di wilayah Show more 174 174 174 136 136 136 403 403 403 6.4K 6.4K 6.4K
POLRES MAGELANG KOTA,23-05-2025 15:58,"POLRES MAGELANG KOTA POLRES MAGELANG KOTA @hmsresmglkota · Cerita Bintara Remaja asal Papua Angkatan 52, yang sejak Desember 2024 ditempatkan di Polres Magelang Kota untuk menjalani masa Latja  hingga Mei 2025. 

Keenam personel muda ini menjalani hari-harinya sebagai bagian dari penguatan SDM  Polri  yang beragam dan inklusif. 1 1 1 3 3 3 10 10 10"
Divisi Humas Polri,23-05-2025 09:17,"Divisi Humas Polri Divisi Humas Polri @DivHumas_Polri · Anggota Komisi III DPR RI Fraksi Gerindra, Martin Daniel Tumbelaka mengapresiasi langkah cepat  Polri  atas penangkapan admin dan anggota grup Facebook 'Fantasi Sedarah' atau 'Suka Duka'. Ia menilai langkah tegas ini sebagai bentuk nyata kehadiran negara dalam melindungi masyarakat Show more 51 51 51 17 17 17 546 546 546 4.9K 4.9K 4.9K"
Divisi Humas Polri,23-05-2025 09:27,"Divisi Humas Polri Divisi Humas Polri @DivHumas_Polri · Polri  tidak memberi ruang bagi aksi premanisme dan anarki. Kali ini, seorang pria merusak kendaraan yang tengah melintas di Kecamatan Besitang, Kabupaten Langkat, Sumatera Utara. Menindaklanjuti insiden tersebut,  Polri  melalui Polres Langkat bergerak cepat mengamankan pelaku yang Show more 47 47 47 18 18 18 286 286 286 24K 24K 24K"
Humas Polda Jawa Timur,23-05-2025 09:40,"Humas Polda Jawa Timur Humas Polda Jawa Timur @bidhumas_jatim · Wakil Ketua Komisi III DPR RI, Dr. H. Ahmad Sahroni, S.E., M.I.Kom., mengapresiasi  Polri  yang dinilai bergerak cepat alias gercep dalam menangani konten menyimpang hubungan sedarah atau inses dan pornografi.  #ProfesionalTegakkanHukum 13 13 13 26 26 26 36 36 36 730 730 730"
Kompas.com,23-05-2025 16:15,"Kompas.com Kompas.com @kompascom · Kenapa  Polri  Hanya Tunjukkan Foto Ijazah Jokowi Saat Konferensi Pers?

/  #polri #jokowi #IjazahJokowi 1 1 1 1 1 1 2 2 2 1K 1K 1K"
Divisi Humas Polri,23-05-2025 13:34,"Divisi Humas Polri Divisi Humas Polri @DivHumas_Polri · Polda Kalimantan Tengah (Kalteng) menetapkan Ketua GRIB Jaya Kalteng, berinisial R, sebagai tersangka atas dugaan penyegelan perusahaan oleh oknum ormas yang disertai dengan aksi premanisme di Barito Selatan. Usai penetapan status sebagai tersangka, kini R telah ditahan di rutan Show more 68 68 68 12 12 12 284 284 284 5.2K 5.2K 5.2K"
Divisi Humas Polri,23-05-2025 09:27,"Divisi Humas Polri Divisi Humas Polri @DivHumas_Polri · Satgas Gakkum Operasi Damai Cartenz 2025 resmi menyerahkan tersangka Aske Mabel beserta barang bukti kepada Kejaksaan Negeri Wamena, Rabu (21/5). Tersangka diketahui terlibat kasus pencurian dengan pemberatan dan kepemilikan senjata api ilegal. Adapun barang bukti yang diserahkan Show more 56 56 56 14 14 14 279 279 279 4.2K 4.2K 4.2K"
Humas Polda Jawa Timur,23-05-2025 09:41,"Humas Polda Jawa Timur Humas Polda Jawa Timur @bidhumas_jatim · Anggota Komisi III DPR RI Fraksi Gerindra, Martin Daniel Tumbelaka mengapresiasi langkah cepat  Polri  atas penangkapan admin dan anggota grup Facebook 'Fantasi Sedarah' atau 'Suka Duka'. Berkomitmen  #ProfesionalTegakkanHukum  Serta Tuntas Ungkap Kejahatan 11 11 11 27 27 27 36 36 36 892 892 892"
𝚋𝚕𝚊𝚗𝚔,23-05-2025 10:24,"𝚋𝚕𝚊𝚗𝚔 𝚋𝚕𝚊𝚗𝚔 @blank0429 · Benar ternyata... 

Puslabfor  POLRI  diakui Internasional

Yg diuji ""aslinya"", yg dipajang jadi barang bukti fotocopy-nya [Sir Edmond Locard bangga padamu Pak] 77 77 77 254 254 254 815 815 815 56K 56K 56K"
