username,waktu,konten,tweet_length
SINDOnews,2025-05-23 18:18:00,"Kombes Pol Sumaryoto pecah bintang, pangkatnya menjadi Brigadir Jenderal Polisi atau Brigjen Pol usai mendapat penugasan baru sebagai Karobinopsnal Bareskrim Polri . Dia merupakan salah satu dari 9 Kombes yang pecah bintang dalam mutasi Polri pada 20 Mei 2025. Sumaryono",270
20DETIK,2025-05-23 17:40:00,20DETIK 20DETIK @20detik · Bareskrim Polri memastikan ijazah S1 Universitas Gadjah Mada milik Presiden ke-7 RI Joko Widodo identik dengan pembanding. Begini tanggapan istana... 21,179
__,2025-05-23 17:28:00,__ __ @kissedbyjude · emosi bgt gw liat data ini. itu polri dr anggaran 2025 nangkring di top3 gaguna bgt ajg anggaran segitu hasilnya apa cok. Jejak digital. Jejak digital. @ARSIPAJA · 3 2 113,193
Monica,2025-05-23 17:28:00,"Hasil akhir sebagaimana tercantum di bawah ya, terima kasih kpd semua netizen yg telah berpartisipasi. Cc: @KompasTV Apakah anda percaya dg keterangan yg disampaikan oleh Bareskrim Polri yg menyatakan Ijazah Jokowi ASLI ? Show this poll 1 9 13 275",247
intel imut,2025-05-23 17:27:00,"intel imut intel imut @Intel_Imut · Commentary account TNI dan POLRI Sinergitas Jangan berasumsi macam2 untuk pecah belah Partai Gerindra Partai Gerindra @Gerindra · Prabowo Teken Perpres, Jaksa Kini Dapat Perlindungan TNI-Polri https:// 81/prabowo-teken-perpres-jaksa-kini-dapat-perlindungan-tni-polri … 3 218",310
SINDOnews,2025-05-23 17:03:00,"Mantan Presiden Joko Widodo (Jokowi) buka suara mengenai ijazahnya yang dinyatakan asli oleh Bareskrim Polri . Jokowi memuji polisi yang memeriksa ijazahnya secara detail. ""Ya memang asli,"" kata Jokowi saat ditemui di kediamannya, Solo, Jawa Tengah, Jumat (23/5/2025). Ayah",273
antaranews.com,2025-05-23 17:01:00,"antaranews.com antaranews.com @antaranews · Menurut Imam, hal tersebut layak untuk dilakukan karena istri anggota Polri memegang peran penting dalam tugas setiap anggota Polri . Dankor Brimob beri tempat pemakaman gratis untuk istri anggota Polri 189 189",254
HUMAS KORPS BRIMOB POLRI,2025-05-23 16:50:00,HUMAS KORPS BRIMOB POLRI HUMAS KORPS BRIMOB POLRI @humaskorbrimob · Penutupan Brimob Challenge 2025 4,101
GELORA NEWS,2025-05-23 16:17:00,"GELORA NEWS GELORA NEWS @geloraco · Netizen Soroti Lekukan di Tengah Fotokopi Ijazah Jokowi yang Ditampilkan Polri : Kok Ada Lipatannya, Ijazah Apa Duit? Netizen Soroti Lekukan di Tengah Fotokopi Ijazah Jokowi yang Ditampilkan Polri: Kok Ada Lipatannya,... 6 12 25 789",268
Kompas.com,2025-05-23 16:15:00,Kompas.com Kompas.com @kompascom · Kenapa Polri Hanya Tunjukkan Foto Ijazah Jokowi Saat Konferensi Pers? / #polri #jokowi #IjazahJokowi 1 2 1K 1K 1K,148
POLRES MAGELANG KOTA,2025-05-23 15:58:00,"POLRES MAGELANG KOTA POLRES MAGELANG KOTA @hmsresmglkota · Cerita Bintara Remaja asal Papua Angkatan 52, yang sejak Desember 2024 ditempatkan di Polres Magelang Kota untuk menjalani masa Latja hingga Mei 2025. Keenam personel muda ini menjalani hari-harinya sebagai bagian dari penguatan SDM Polri yang beragam dan inklusif. 1 3 10",331
Speak_Up,2025-05-23 15:36:00,"Speak_Up Speak_Up @Nobody_2811 · Mayoritas publik tidak percaya sama kopers Bareskrim Polri , kecuali ternak Mulyono & buzzeRp haram jadah. . . . . Tele Bikin Hot Hits Indonesia Karena DM Polisi Febi DMan Hantu. 10 20 4.4K 4.4K 4.4K",232
Elang Gold(2),2025-05-23 15:07:00,Elang Gold(2) Elang Gold(2) @Pecel_Lele5678 · @DedynurPalakka Bisa-bisanya Polri Ketok Magic. rahang gigi bawah sudah rapi malah di berantakin. 465 465,151
humasacehtimurpoldaaceh,2025-05-23 14:43:00,"BHABINKAMTIBMAS POLSEK IDI TUNONG PANTAU PENYALURAN PUPUK UREA NON SUBSIDI Pendampingan oleh Bhabinkamtibmas bertujuan untuk memastikan distribusi pupuk non subsidi berjalan lancar, tepat sasaran, dan tanpa kendala. @bidhumasaceh https:// binkamtibmas-polsek-idi-tunong-pantau-penyaluran-pupuk-urea-non-subsidi/ … 2 7",317
humasacehtimurpoldaaceh,2025-05-23 14:27:00,POLSEK DARUL AMAN PASANG SPANDUK HIMBAUAN KAMSELTIBCARLANTAS DI LOKASI RAWAN KECELAKAAN Dengan pemasangan spanduk imbauan ini dapat meningkatkan kesadaran masyarakat dalam berlalulintas. @NTMCLantasPolri https:// sek-darul-aman-pasang-spanduk-himbauan-kamseltibcarlantas-di-lokasi-rawan-kecelakaan/ … 20 20,306
Mr.Rudi,2025-05-23 14:25:00,"Mr.Rudi Mr.Rudi @MarjanSapr17110 · @DedynurPalakka Sy hargai hasil labfor polri Tapi ini yg masih mengganjal di mata... struktur giginya kenapa bisa berubah...apakah beliau pernah ketabrak kereta kencana..? sehingga giginya menjadi tidak rapih lagi..?ini juga mesti dijelaskan sm mabes polri ,kenapa struktur giginya bisa gak sama 1 8 475",338
Badan Standardisasi Nasional (BSN),2025-05-23 14:16:00,"Badan Standardisasi Nasional (BSN) Badan Standardisasi Nasional (BSN) @bsn_sni · SNIzen dan ReKAN! Untuk pertama kalinya di Indonesia, Laboratorium Pusat Penelitian dan Pengembangan (Puslitbang) POLRI resmi meraih sertifikat akreditasi dari Komite Akreditasi Nasional (KAN) untuk ruang lingkup pengujian produk-produk kepolisian (1/6) 19 19",340
humasacehtimurpoldaaceh,2025-05-23 14:08:00,"JUM’AT BERKAH, KAPOLSEK PEUREULAK SERAHKAN BANTUAN KEPADA LANSIA Kegiatan ini adalah bentuk kepedulian Polsek Peureulak terhadap masyarakat, khususnya para lansia yang membutuhkan uluran tangan. @bidhumasaceh https:// at-berkah-kapolsek-peureulak-serahkan-bantuan-kepada-lansia/ … 3 7",284
Indonesia Dirusak Oknum Bajingan,2025-05-23 13:49:00,Indonesia Dirusak Oknum Bajingan Indonesia Dirusak Oknum Bajingan @yusuf_my1 · @OjolNyambi Ijazah jokowi bikin gaduh indonesia Hanya Presiden @prabowo yg bs stop gaduh ijazah palsu jokowi Cara jemput paksa jokowi utk hadir di pengadilan Katakan yg benar dan yg salah dengan tegas lugas! @DokterTifa ⓇⓐⓏⓘⓝ ⓇⓐⓏⓘⓝ ⓇⓐⓏⓘⓝ 1 2 5 105,326
